Nr,Tytuł ,"Rok bitwy, kampanii lub wojny",Autor,Wydanie,Wikipedia_url,Lat,Lng
165,"Blenheim–Höchstädt 1704",1704,"Rafał Radziwonka","2008",https://pl.wikipedia.org/wiki/Bitwa_pod_Blenheim,48.65,10.55
166,"Boyne 1690",1690,"Jarosław Wojtczak","2008",https://pl.wikipedia.org/wiki/Bitwa_nad_Boyne,53.723055555555554,-6.423611111111112
167,"Wilno 1919–1920",1919,"Lech Wyszczelski","2008",https://pl.wikipedia.org/wiki/Wilno,54.68333333333333,25.283333333333335
168,"Fuengirola 1810",1810,"Krzysztof Mazowski","2008",https://pl.wikipedia.org/wiki/Bitwa_pod_Fuengirol%C4%85,36.55202,-4.620080000000001
169,"Kartagina 149–146 p.n.e.",-149,"Bernard Nowaczyk","2008",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Kartaginy,36.853100000000005,10.3231
170,"Pekin, Szanghaj, Nankin 1937–1945",1937,"Michał Klimecki","2008",https://pl.wikipedia.org/wiki/Pekin,39.916666666666664,116.38333333333334
171,"Kamieniec Podolski 1672",1672,"Piotr Derdej","2009",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Kamie%C5%84ca_Podolskiego_(1672),48.68333333333333,26.583333333333332
172,"Mińsk Białoruski 1941",1941,"Sławomir Kosim","2009",https://pl.wikipedia.org/wiki/Mi%C5%84sk,53.9,27.55
173,"Sedan 1870",1870,"Ryszard Dzieszyński","2009",https://pl.wikipedia.org/wiki/Bitwa_pod_Sedanem,49.7,4.944444444444445
174,"Monte Cassino 1944",1944,"Zbigniew Wawer","2009",https://pl.wikipedia.org/wiki/Bitwa_o_Monte_Cassino,41.49,13.81388888888889
175,"Wojna meksykańska 1861–1867",1861,"Jarosław Wojtczak","2009,2022",https://pl.wikipedia.org/wiki/Meksyk_(miasto),19.419444444444444,-99.14555555555556
176,"Verdun 1916",1916,"Jarosław Centek","2009,2014",https://pl.wikipedia.org/wiki/Bitwa_pod_Verdun,49.20805555555556,5.421944444444445
177,"Masada 66–73",66,"Bernard Nowaczyk","2009,2023",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Masady,31.315555555555555,35.353611111111114
178,"Westerplatte–Oksywie–Hel 1939",1939,"Piotr Derdej","2009",https://pl.wikipedia.org/wiki/Bitwa_o_K%C4%99p%C4%99_Oksywsk%C4%85,54.54857111111111,18.54612388888889
179,"Warszawa 1939",1939,"Lech Wyszczelski","2009",https://pl.wikipedia.org/wiki/Obrona_Warszawy_(1939),52.23222222222223,21.008333333333333
180,"Racławice 1794",1794,"Bartłomiej Szyndler","2009",https://pl.wikipedia.org/wiki/Bitwa_pod_Rac%C5%82awicami,50.31055555555555,20.228888888888886
181,"Płowce 1331",1331,"Piotr Strzyż","2009",https://pl.wikipedia.org/wiki/Bitwa_pod_P%C5%82owcami,52.6156,18.6439
182,"Bałkany 1912–1913",1912,"Robert Rabka","2010",https://pl.wikipedia.org/wiki/Bitwa_pod_Czatald%C5%BC%C4%85_(1912),41.141667,28.463056
183,"Jutlandia 1916. Bitwa morska",1916,"Geoffrey Bennett","2010",https://pl.wikipedia.org/wiki/Bitwa_jutlandzka,56.7,5.9
184,"Kyme 474 p.n.e.",-474,"Marta Korczyńska-Zdąbłarz","2010",https://it.wikipedia.org/wiki/Cuma,40.84861111111111,14.053611111111111
185,"Boreml 1831",1831,"Dariusz Ostapowicz","2010",https://pl.wikipedia.org/wiki/Bitwa_pod_Ostro%C5%82%C4%99k%C4%85_(1831),53.0833,21.5833
186,"Ramillies 1706",1706,"Rafał Radziwonka","2010",https://en.wikipedia.org/wiki/Battle_of_Ramillies,50.63861111111111,4.912777777777778
187,"Panama 1671",1671,"Jarosław Molenda","2010",https://en.wikipedia.org/wiki/Henry_Morgan%27s_Panama_expedition,9.0075,-79.485
188,"Madagaskar 1942",1942,"Józef Wiesław Dyskant","2010",https://pl.wikipedia.org/wiki/Bitwa_o_Madagaskar,-12.266666666666667,49.28333333333333
189,"Wojna zuluska 1879",1879,"Piotr Fiszka-Borzyszkowski","2010,2024",https://pl.wikipedia.org/wiki/Bitwa_pod_Rorke%E2%80%99s_Drift,-28.358,30.536583333333336
190,"Samhorodek–Komarów 1920",1920,"Włodzimierz Nowak","2010",https://pl.wikipedia.org/wiki/Bitwa_pod_Komarowem,50.633,23.4833
191,"Chiny 1946–1949",1946,"Jakub Polit","2010",https://pl.wikipedia.org/wiki/II_bitwa_o_Siping,43.163333333333334,124.45111111111112
192,"Salamina–Plateje 480–479 p.n.e.",-480,"Grzegorz Lach","2010",https://pl.wikipedia.org/wiki/Bitwa_pod_Platejami,38.24,23.318
193,"Stoczek–Nowa Wieś 1831",1831,"Tomasz Strzeżek","2010",https://pl.wikipedia.org/wiki/Bitwa_pod_Stoczkiem,51.96666666666667,21.966666666666665
194,"Ofensywa Tet 1968",1968,"Przemysław Benken","2010",https://pl.wikipedia.org/wiki/Ofensywa_T%E1%BA%BFt,11.0,107.0
195,"Czesma 1770",1770,"Piotr Olender","2011",https://en.wikipedia.org/wiki/Battle_of_Chesma,38.330000000000005,26.290000000000003
196,"Jena i Auerstädt 1806",1806,"Sławomir Leśniewski","2011",https://pl.wikipedia.org/wiki/Bitwa_pod_Jen%C4%85-Auerstedt,50.93333333333333,11.583333333333334
197,"Ostrołęka 1831",1831,"Michał Leszczyński","2011",https://pl.wikipedia.org/wiki/Bitwa_pod_Ostro%C5%82%C4%99k%C4%85_(1831),53.0833,21.5833
198,"Wojny markomańskie 162–185 n.e.",162,"Marek Olędzki","2011,2023",https://pl.wikipedia.org/wiki/Panonia,44.9,19.016666666666666
199,"Wojna paragwajska 1864–1870",1864,"Jarosław Wojtczak","2011",https://pl.wikipedia.org/wiki/Bitwa_u_uj%C5%9Bcia_Riachuelo,-27.56222222222222,-58.83916666666667
200,"Somma 1916",1916,"Jarosław Centek","2011",https://pl.wikipedia.org/wiki/Bitwa_nad_Somm%C4%85,50.01555555555556,2.6975000000000002
201,"Vilcabamba 1572",1572,"Roman Warszewski","2011",https://pl.wikipedia.org/wiki/Vilcabamba,-10.478055555555555,-76.4475
202,"Puszcza Kampinoska–Jaktorów 1944",1944,"Szymon Nowak","2011",https://pl.wikipedia.org/wiki/Jaktor%C3%B3w,52.09055555555556,20.546944444444446
203,"Polesie 1939",1939,"Wojciech Włodarkiewicz","2011",https://pl.wikipedia.org/wiki/Bitwa_pod_Kockiem_(1939),51.63333333333333,22.433333333333334
204,"Pearl Harbor 1941",1941,"Jarosław Jastrzębski","2011",https://pl.wikipedia.org/wiki/Bitwa_na_Morzu_Koralowym,-16.266666666666666,162.33333333333334
205,"Ayacucho 1824",1824,"Jarosław Spyra","2011",https://pl.wikipedia.org/wiki/Bitwa_pod_Ayacucho,-13.0425,-74.13166666666666
206,"Konstantynopol 1204",1204,"Sławomir Leśniewski","2012,2022",https://pl.wikipedia.org/wiki/Konstantynopol,41.0125,28.979999999999997
207,"Wojna burska 1880–1881",1880,"Piotr Fiszka-Borzyszkowski","2012,2023",https://pl.wikipedia.org/wiki/Bitwa_na_wzg%C3%B3rzu_Majuba,-27.4616,29.8613
208,"Amida 359",359,"Tomasz Szeląg","2012",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Amidy,37.91667,40.21667
209,"Insurekcja warszawska 1794",1794,"Wojciech Kępka-Mariański","2012",https://pl.wikipedia.org/wiki/Bitwa_pod_Rac%C5%82awicami,50.31055555555555,20.228888888888886
210,"Culloden Moor 1746",1746,"Jarosław Wojtczak","2012",https://pl.wikipedia.org/wiki/Bitwa_pod_Culloden,57.477222222222224,-4.092499999999999
211,"Fort Pillow 1864",1864,"Michał Staniszewski","2012",https://en.wikipedia.org/wiki/Battle_of_Fort_Pillow,35.6325,-89.84861111111111
212,"Chojnice 1454, Świecino 1462",1454,"Bernard Nowaczyk","2012",https://pl.wikipedia.org/wiki/Bitwa_pod_Chojnicami,53.68847222222222,17.56263888888889
213,"Wojny guarańskie 1628–1756",1628,"Jarosław Molenda","2012",https://pl.wikipedia.org/wiki/Rio_Grande_do_Sul,-29.75,-53.15
214,"Boliwia 1966–1967",1966,"Roman Warszewski","2012",https://pl.wikipedia.org/wiki/Boliwia,-17.05686961111111,-64.99122861111111
215,"Kampania Langiewicza 1863",1863,"Wojciech Kalwat","2012",https://pl.wikipedia.org/wiki/Bitwa_pod_Grochowiskami,50.487500000000004,20.636944444444445
216,"Guadalcanal 1942–1943",1942,"Michał A. Piegzik","2013",https://pl.wikipedia.org/wiki/I_bitwa_pod_Guadalcanalem,-9.186111111111112,159.89499999999998
217,"Góry Pindos 1943–1949",1943,"Andrzej Murawski","2013",https://en.wikipedia.org/wiki/Pindus,40.08888888888889,20.92527777777778
218,"Flandria 1940",1940,"Paweł Korzeniowski","2013",https://pl.wikipedia.org/wiki/Operacja_Dynamo,51.03333333333333,2.3666666666666667
219,"Texel 1673",1673,"Maciej Franz, Anna Pastorek","2013",https://pl.wikipedia.org/wiki/Bitwa_morska_pod_Texel,53.15,4.6
220,"Kleidion 1014",1014,"Łukasz Migniewicz","2013",https://pl.wikipedia.org/wiki/Bitwa_pod_Klidion,41.36666666666667,23.016666666666666
221,"Antietam 1862",1862,"Piotr Groblewski","2013",https://pl.wikipedia.org/wiki/Bitwa_nad_Antietam,39.473333333333336,-77.74472222222222
222,"Vercellae 101 p.n.e.",-101,"Paweł Rochala","2013,2021,2023",https://pl.wikipedia.org/wiki/Bitwa_pod_Vercellae,45.316667,8.416667
223,"Wilno 1944",1944,"Leszek Kania","2013",https://pl.wikipedia.org/wiki/Operacja_%E2%80%9EOstra_Brama%E2%80%9D,54.683299999999996,25.3167
224,"Iłża 1939",1939,"Piotr Zarzycki","2013",https://pl.wikipedia.org/wiki/Bitwa_pod_I%C5%82%C5%BC%C4%85_(1939),51.16222222222222,21.236944444444447
225,"Atlantyk 1939–1945",1939,"Tomasz Fijałkowski","2013",https://pl.wikipedia.org/wiki/Ocean_Atlantycki,0.0,-30.0
226,"Cuzco 1536–1537",1536,"Roman Warszewski","2013",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Cuzco_(1536%E2%80%931537),-13.516666666666667,-71.97805555555556
227,"Minnesota 1862",1862,"Jarosław Wojtczak","2014",https://pl.wikipedia.org/wiki/Bitwa_o_Fort_Ridgely,44.451100000000004,-94.7308
228,"Aleksandria 1365",1365,"Łukasz Burkiewicz","2014",https://pl.wikipedia.org/wiki/Krucjata_aleksandryjska,31.199722222222224,29.871111111111112
229,"Cambrai 1917",1917,"Krzysztof Plewako","2014",https://pl.wikipedia.org/wiki/Bitwa_pod_Cambrai_(1917),50.1767,3.23556
230,"Wojna Czu z Han 209–202 p.n.e",-209,"Maciej Kuczyński","2014,2023",https://en.wikipedia.org/wiki/Northwestern_China,36.8,95.8
231,"Lwów 1920",1920,"Lech Wyszczelski","2014",https://pl.wikipedia.org/wiki/Bitwa_o_Lw%C3%B3w_(1920),49.8425,24.03222222222222
232,"Holenderskie Indie Wschodnie 1942",1942,"Michał A. Piegzik","2014",https://pl.wikipedia.org/wiki/Bitwa_pod_Balikpapan_(1942),-1.2461111111111112,116.82166666666666
233,"Limanowa 1914",1914,"Wacław Polakiewicz","2014",https://pl.wikipedia.org/wiki/Bitwa_pod_Marcinkowicami,49.669999999999995,20.648888888888887
234,"Chojnice 1939",1939,"Andrzej Lorbiecki, Marcin Wałdoch","2014",https://pl.wikipedia.org/wiki/Bitwa_pod_Krojantami,53.715,17.646944444444443
235,"Pomorze 1945",1945,"Marcin Leszczyński","2014",https://en.wikipedia.org/wiki/Pomerania,54.28333333333333,18.15
236,"Ipsos 301 p.n.e",-301,"Grzegorz Lach","2014",https://pl.wikipedia.org/wiki/Bitwa_pod_Ipsos,38.95,30.99
237,"Kongo 1965",1965,"Roman Warszewski","2014",https://pl.wikipedia.org/wiki/Demokratyczna_Republika_Konga,-2.9,23.7
238,"Festung Küstrin 1945",1945,"Andrzej Toczewski","2015",https://pl.wikipedia.org/wiki/Twierdza_Kostrzyn,52.57888888888889,14.635555555555555
239,"Callao 1866",1866,"Jarosław Wojtczak","2015",https://pl.wikipedia.org/wiki/Bitwa_pod_Callao,-12.047777777777778,-77.15361111111112
240,"Kraków 1768–1772",1768,"Ryszard Dzieszyński","2015",https://pl.wikipedia.org/wiki/Krak%C3%B3w,50.061388888888885,19.938333333333333
241,"Kreta 1941",1941,"Tomasz Jarmoła","2015,2024",https://pl.wikipedia.org/wiki/Bitwa_o_Kret%C4%99,35.5,24.061111111111114
242,"Crotone 982",982,"Robert F. Barkowski","2015,2023",https://pl.wikipedia.org/wiki/Bitwa_pod_Kroton%C4%85,39.0254,17.202199999999998
243,"Bolimów 1915",1915,"Stanisław Kaliński","2015,2021",https://pl.wikipedia.org/wiki/Bitwa_pod_Bolimowem,52.07640000000001,20.1631
244,"Pomorze 1920",1920,"Wojciech Zawadzki","2015",https://pl.wikipedia.org/wiki/Pomorze_Gda%C5%84skie,54.39015277777778,18.544922222222223
245,"Ignacewo 1863",1863,"Maciej Grzeszczak","2015",https://pl.wikipedia.org/wiki/I_bitwa_pod_Ignacewem,52.38916666666667,18.41777777777778
246,"Połabie 983",983,"Robert F. Barkowski","2015",https://pl.wikipedia.org/wiki/%C5%81aba,50.775555555555556,15.536388888888888
247,"Manzikert 1071",1071,"Stanisław Rek","2015,2022",https://pl.wikipedia.org/wiki/Bitwa_pod_Manzikertem,39.14472222222222,42.53916666666667
248,"Filipiny 1898–1902",1898,"Jarosław Wojtczak","2015",https://pl.wikipedia.org/wiki/Filipiny,12.0,123.0
249,"Macedonia–Epir–Albania 1912–1913",1912,"Robert Rabka","2016",https://pl.wikipedia.org/wiki/Albania,41.0,20.0
250,"Poitiers 732",732,"Robert F. Barkowski","2016,202",https://pl.wikipedia.org/wiki/Bitwa_pod_Poitiers_(732),47.3936,0.6892
251,"Kosowe Pole 1389",1389,"Stanisław Rek","2016",https://pl.wikipedia.org/wiki/Bitwa_na_Kosowym_Polu_(1389),42.63,21.12
252,"Kuba 1958–1959",1958,"Roman Warszewski","2016",https://pl.wikipedia.org/wiki/Bitwa_o_Santa_Clar%C4%99,22.405278,-79.954167
253,"Indie–Pakistan 1971",1971,"Jarosław Dobrzelewski","2016",https://en.wikipedia.org/wiki/Battle_of_Dhalai,24.21861111111111,91.8261111111111
254,"Nad Wieprzem 1920",1920,"Piotr Krukowski","2016",https://pl.wikipedia.org/wiki/Mazowsze,52.977359,19.020299
255,"Lechowe Pole 955",955,"Robert F. Barkowski","2016,2023",https://pl.wikipedia.org/wiki/Bitwa_nad_rzek%C4%85_Lech_(955),48.36666666666667,10.9
256,"Morze Koralowe 1942",1942,"Michał A. Piegzik","2016",https://pl.wikipedia.org/wiki/Bitwa_na_Morzu_Koralowym,-16.266666666666666,162.33333333333334
257,"Wołyń 1939",1939,"Wojciech Włodarkiewicz","2016",https://pl.wikipedia.org/wiki/Wo%C5%82y%C5%84,50.73888888888889,25.323333333333334
258,"Ktezyfont 363",363,"Adrian Drabik","2016",https://pl.wikipedia.org/wiki/Bitwa_pod_Singar%C4%85,36.3225,41.864167
259,"Massalia 49 p.n.e.",-49,"Tomasz Romanowski","2016",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Massalii,43.29667,5.37639
260,"Natal 1899–1900",1899,"Tomasz Greniuch","2017",https://pl.wikipedia.org/wiki/Bitwa_pod_Paardeberg,-28.982499999999998,25.093055555555555
261,"Krucjata połabska 1147",1147,"Robert F. Barkowski","2017,2023",https://de.wikipedia.org/wiki/Mecklenburg-Vorpommern,53.612062,12.700195
262,"Getto warszawskie 1943",1943,"Tomasz Kubicki","2017",https://pl.wikipedia.org/wiki/Powstanie_w_getcie_warszawskim,52.24611111111111,20.995833333333334
263,"Kostiuchnówka 1916",1916,"Tomasz Dudek","2017",https://pl.wikipedia.org/wiki/Bitwa_pod_Kostiuchn%C3%B3wk%C4%85,51.34305555555556,25.759722222222223
264,"La Plata 1806–1807",1806,"Jarosław Wojtczak","2017",https://pl.wikipedia.org/wiki/Bitwa_pod_Waterloo,50.67805555555555,4.412222222222223
265,"Kanał Sueski 1956",1956,"Roman Marcinek","2017",https://pl.wikipedia.org/wiki/Kana%C5%82_Sueski,30.705,32.344166666666666
266,"Syberia 1581–1697",1581,"Robert F. Barkowski","2017",https://en.wikipedia.org/wiki/Siberia,61.0,105.0
267,"Mińsk 1919",1919,"Lech Wyszczelski","2017",https://pl.wikipedia.org/wiki/Mi%C5%84sk,53.9,27.55
268,"Północny Atlantyk 1914–1918",1914,"Tomasz Fijałkowski","2017",https://pl.wikipedia.org/wiki/Bitwa_ko%C5%82o_Helgolandu_(1914),54.19,7.51
269,"Bosworth 1485",1485,"Jarosław Wojtczak","2017",https://pl.wikipedia.org/wiki/Bitwa_pod_Bosworth,52.59111111111111,-1.4102777777777777
270,"Byczyna 1588",1588,"Ryszard Dzieszyński","2017",https://pl.wikipedia.org/wiki/Bitwa_pod_Byczyn%C4%85,51.11333333333334,18.2625
271,"Konstantynopol 626",626,"Łukasz Czarnecki","2017",https://pl.wikipedia.org/wiki/Konstantynopol,41.0125,28.979999999999997
272,"Budziszyn 1002–1018",1002,"Robert F. Barkowski","2018,2025",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Lubusza,52.42611111111111,14.535
273,"Cholula 1519",1519,"Roman Warszewski","2018",https://pl.wikipedia.org/wiki/Cholula,19.05,-98.51666666666667
274,"Brytania 55–54 p.n.e.",-55,"Tomasz Romanowski","2018",https://pl.wikipedia.org/wiki/Brytania,52.22,-0.57
275,"Kraśnik 1914",1914,"Jan Błachnio","2018",https://pl.wikipedia.org/wiki/Bitwa_pod_Kra%C5%9Bnikiem,50.933299999999996,22.2167
276,"Operacja Ho Chi Minh 1975",1975,"Janusz Lizut","2018",https://pl.wikipedia.org/wiki/Bitwa_o_Xu%C3%A2n_L%E1%BB%99c,10.923333333333332,107.23916666666666
277,"Płock 1920",1920,"Grzegorz Gołębiewski","2018",https://pl.wikipedia.org/wiki/P%C5%82ock,52.54722222222222,19.7
278,"Grenada 1492",1492,"Roman Warszewski","2018",https://pl.wikipedia.org/wiki/Bitwa_pod_Las_Navas_de_Tolosa,38.343,-3.5490277777777774
279,"Paryż 885–886",885,"Robert F. Barkowski","2018,2023",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Pary%C5%BCa_przez_wiking%C3%B3w,48.854,2.347
280,"Kadyks 1810–1812",1810,"Krzysztof Mazowski","2018",https://pl.wikipedia.org/wiki/Bitwa_pod_Barros%C4%85,36.37188888888889,-6.1765
281,"Powstanie Wielkopolskie 1918–1919",1918,"Lech Wyszczelski","2018",https://pl.wikipedia.org/wiki/Bitwa_o_Lw%C3%B3w_(1918%E2%80%931919),49.83,24.0142
282,"Jezioro Pejpus 1242",1242,"Jerzy Pluta","2018",https://pl.wikipedia.org/wiki/Bitwa_na_jeziorze_Pejpus,58.233333333333334,27.5
283,"Rawicz 1919",1919,"Jakub Staszak","2019",https://pl.wikipedia.org/wiki/Rawicz,51.60916666666667,16.8575
284,"Kijów 1018",1018,"Robert F. Barkowski","2019",https://pl.wikipedia.org/wiki/Bitwa_pod_Wo%C5%82yniem,50.79861111111111,23.948333333333334
285,"Amiens 1918",1918,"Witold Ławrynowicz","2019",https://pl.wikipedia.org/wiki/Bitwa_pod_Amiens,49.89388888888889,2.2941666666666665
286,"Włocławek 1914",1914,"Tomasz Cybulski","2019",https://pl.wikipedia.org/wiki/W%C5%82oc%C5%82awek,52.66083333333333,19.06861111111111
287,"Ankara 1402",1402,"Stanisław Rek","2019,2025",https://pl.wikipedia.org/wiki/Bitwa_pod_Ankar%C4%85,40.15,32.95
288,"Ulm 1805",1805,"Robert F. Barkowski","2019",https://pl.wikipedia.org/wiki/Bitwa_pod_Ulm,48.38333333333333,9.983333333333333
289,"Ocean Indyjski 1942",1942,"Michał A. Piegzik","2019",https://pl.wikipedia.org/wiki/Ocean_Indyjski,-20.0,80.0
290,"Smoleńsk 1609–1611",1609,"Katarzyna Słodowy","2019",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Smole%C5%84ska_(1609%E2%80%931611),54.7833,32.05
291,"Dworzec Gdański 1944",1944,"Szymon Nowak","2019",https://pl.wikipedia.org/wiki/Pomnik_%C5%BCo%C5%82nierzy_AK_poleg%C5%82ych_w_ataku_na_Dworzec_Gda%C5%84ski_w_Warszawie,52.2615,20.993000000000002
292,"Przebraże 1943",1943,"Tomasz Dudek","2019",https://pl.wikipedia.org/wiki/Obrona_Przebra%C5%BCa,50.89972222222222,25.595
293,"Kraków 1655–1657",1655,"Ryszard Dzieszyński","2019",https://pl.wikipedia.org/wiki/Bitwa_pod_Wojniczem,49.9667,20.8333
294,"Myriokefalon 1176",1176,"Stanisław Rek","2019",https://pl.wikipedia.org/wiki/Bitwa_pod_Myriokefalon,37.910676,31.946613
295,"Hydaspes 326 p.n.e.",-326,"Michał Piekarski","2019",https://pl.wikipedia.org/wiki/Bitwa_nad_rzek%C4%85_Hydaspes,32.82777777777778,73.6388888888889
296,"Torres Vedras 1810",1810,"Krzysztof Mazowski","2019",https://pl.wikipedia.org/wiki/Bitwa_nad_Gebor%C4%85,38.894999999999996,-6.98
297,"Beer Szewa 1917",1917,"Jarosław Wojtczak","2020",https://pl.wikipedia.org/wiki/Beer_Szewa,31.2575,34.79527777777778
298,"Siemiatycze 1863",1863,"Ernest Szum","2020",https://pl.wikipedia.org/wiki/Bitwa_pod_Siemiatyczami,52.42722222222222,22.8625
299,"Galia belgijska 57–51 p.n.e.",-57,"Tomasz Romanowski","2020",https://pl.wikipedia.org/wiki/Bitwa_nad_rzek%C4%85_Sabis,50.233333333333334,3.441666666666667
300,"Mohacz 1526",1526,"Stanisław Rek","2020",https://pl.wikipedia.org/wiki/Bitwa_pod_Mohaczem,45.94138888888889,18.647222222222222
301,"Don 1917–1918",1917,"Krzysztof Marcinek","2020",https://pl.wikipedia.org/wiki/Bitwa_o_Carycyn,48.7,44.5167
302,"Nasielsk 1920",1920,"Lech Wyszczelski","2020",https://pl.wikipedia.org/wiki/Nasielsk,52.58972222222222,20.804166666666667
303,"Ciechanów 1920",1920,"Lech Wyszczelski","2020",https://pl.wikipedia.org/wiki/Ciechan%C3%B3w,52.88166666666667,20.610555555555557
304,"Wyspy Brytyjskie 1940",1940,"Robert Gretzyngier, Wojciech Matusiak","2020",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Malty_(1940%E2%80%931942),35.8833,14.45
305,"Małopolska Wschodnia 1939",1939,"Wojciech Włodarkiewicz","2020",https://pl.wikipedia.org/wiki/Wojew%C3%B3dztwo_stanis%C5%82awowskie,48.9234,24.7101
306,"Konungahella 1135",1135,"Robert F. Barkowski","2020,2025",https://pl.wikipedia.org/wiki/Bitwa_o_Konungahel%C4%99,57.86666666666667,11.983333333333333
307,"Karpacka kampania Legionów Polskich 1914–1915",1914,"Tomasz Dudek","2020",https://pl.wikipedia.org/wiki/Mo%C5%82otk%C3%B3w,48.66111111111111,24.484444444444446
308,"Iłża 1864",1864,"Grzegorz Cwyl","2021",https://pl.wikipedia.org/wiki/Bitwa_pod_I%C5%82%C5%BC%C4%85_(1864),51.162222,21.236944
309,"Fulford–Stamford Bridge 1066",1066,"Cezary Namirski","2021",https://pl.wikipedia.org/wiki/Bitwa_pod_Stamford_Bridge,53.9925,-0.9125
310,"Nikopolis 1396",1396,"Stanisław Rek","2021",https://pl.wikipedia.org/wiki/Bitwa_pod_Nikopolis_(1396),43.70583333333334,24.895833333333332
311,"Góra św Anny–Kędzierzyn 1921",1921,"Leszek Kania","2021",https://pl.wikipedia.org/wiki/K%C4%99dzierzyn-Ko%C5%BAle,50.344722222222224,18.20861111111111
312,"Zawichost 1205",1205,"Artur Foryt","2021",https://pl.wikipedia.org/wiki/Bitwa_pod_Zawichostem,50.806,21.858800000000002
313,"Rugia 1168",1168,"Robert F. Barkowski","2021",https://pl.wikipedia.org/wiki/Rugia,54.416666666666664,13.366666666666667
314,"Lwów 1944",1944,"Damian Karol Markowski","2021",https://en.wikipedia.org/wiki/Lviv,49.8425,24.03222222222222
315,"Saragossa 1808–1809",1808,"Krzysztof Mazowski","2021",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Saragossy_(1808),41.65,-0.88333
316,"Marna 1914",1914,"Jarosław Centek","2021",https://pl.wikipedia.org/wiki/I_bitwa_nad_Marn%C4%85,49.016666666666666,3.3833333333333333
317,"Krym, Donieck, Ługańsk 2014–2015",2014,"Michał Klimecki","2021",https://pl.wikipedia.org/wiki/Wojna_w_Donbasie,48.0,38.0
318,"Gabiene 316 p.n.e.",-316,"Michał Piekarski","2021",https://pl.wikipedia.org/wiki/Bitwa_pod_Gabiene,31.777205,51.801649
319,"Fallen Timbers 1794",1794,"Jarosław Wojtczak","2021",https://pl.wikipedia.org/wiki/Bitwa_pod_zapor%C4%85_z_pni,41.54416666666666,-83.6975
320,"Zaolzie 1919, 1938",1919,"Lech Wyszczelski","2022,2024",https://pl.wikipedia.org/wiki/Zaolzie,49.75,18.5
321,"Kadesz 1274 p.n.e.",-1274,"Dominik Stasiak","2022",https://pl.wikipedia.org/wiki/Bitwa_pod_Kadesz,34.55548611111111,36.49802777777778
322,"Pomorze 1807",1807,"Szymon Jagodziński","2022",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Gda%C5%84ska_(1807),54.3667,18.633300000000002
323,"Gallipoli 1915–1916",1915,"Paweł Korzeniowski","2022",https://pl.wikipedia.org/wiki/Bitwa_o_Gallipoli,40.237500000000004,26.2775
324,"Fontenoy 841",841,"Robert F. Barkowski","2022",https://pl.wikipedia.org/wiki/Bitwa_pod_Fontenoy,50.5694,3.475
325,"Aleuty 1942–1943",1942,"Michał A. Piegzik","2022",https://pl.wikipedia.org/wiki/Bitwa_pod_Midway,30.0,-178.0
326,"Saint-Nazaire–Dieppe 1942",1942,"Tomasz Jarmoła","2022",https://pl.wikipedia.org/wiki/Bitwa_o_Brest,48.4,-4.483333333333333
327,"Powstanie wielkopolskie 1655–1657",1655,"Bartosz Staręgowski","2022",https://pl.wikipedia.org/wiki/Bitwa_pod_Uj%C5%9Bciem_(1655),53.052499999999995,16.733055555555556
328,"Czerniaków 1944",1944,"Szymon Nowak","2022",https://pl.wikipedia.org/wiki/Bitwa_pod_Warszaw%C4%85_(1944),52.418055555555554,21.18111111111111
329,"Las Argoński 1918",1918,"Jarosław Wojtczak","2022",https://en.wikipedia.org/wiki/Forest_of_Argonne,49.15,4.966666666666667
330,"Mazowsze 1047",1047,"Mariusz Samp","2022",https://pl.wikipedia.org/wiki/Mazowsze,52.977359,19.020299
331,"Oravais 1808",1808,"Krzysztof Mazowski","2023",https://en.wikipedia.org/wiki/Battle_of_Oravais,63.282777777777774,22.375
332,"Smyrna 1919–1922",1919,"Stanisław Rek","2023",https://en.wikipedia.org/wiki/Smyrna,38.41861111111111,27.139166666666664
333,"Pomorze Zachodnie 1185",1185,"Robert F. Barkowski","2023",https://pl.wikipedia.org/wiki/Wojew%C3%B3dztwo_zachodniopomorskie,53.6,15.533333333333333
334,"Kraków 1914",1914,"Henryk Łukasik","2023",https://pl.wikipedia.org/wiki/Pierwsza_bitwa_o_Krak%C3%B3w,50.061388888888885,19.938333333333333
335,"Weje 405–396 p.n.e.",-405,"Daniel Gazda","2023",https://pl.wikipedia.org/wiki/Weje,42.02388888888889,12.401388888888889
336,"Clontarf 1014",1014,"Cezary Namirski","2023",https://pl.wikipedia.org/wiki/Bitwa_pod_Clontarf,53.365,-6.197500000000001
