Nr,Tytuł ,"Rok bitwy, kampanii lub wojny",Autor,Wydanie,Wikipedia_url,Lat,Lng
38,"Valmy 1792",1792,"Bogdan Borucki","1990",https://pl.wikipedia.org/wiki/Bitwa_pod_Valmy,49.08027777777778,4.767222222222222
39,"Wielka Brytania 1940",1940,"Wacław Król","1990,1996,1999",https://pl.wikipedia.org/wiki/Bitwa_o_Angli%C4%99,54.0,-2.0
40,"Maciejowice 1794",1794,"Wojciech Mikuła","1991",https://pl.wikipedia.org/wiki/Bitwa_pod_Maciejowicami,51.70623888888889,21.60478888888889
41,"Warna 1444",1444,"Edward Potkowski","1990,2004",https://pl.wikipedia.org/wiki/Bitwa_pod_Warn%C4%85,43.21666666666667,27.883333333333333
42,"Gettysburg 1863",1863,"Grzegorz Swoboda","1991,1999",https://pl.wikipedia.org/wiki/Bitwa_pod_Gettysburgiem,39.811388888888885,-77.22583333333334
43,"Bastylia 1789",1789,"Robert Bielecki","1991",https://pl.wikipedia.org/wiki/Bastylia,48.85333333333333,2.368333333333333
44,"Normandia 1944",1944,"Robert Bielecki","1991",https://pl.wikipedia.org/wiki/Bitwa_o_bateri%C4%99_Merville,49.269999999999996,-0.1963888888888889
45,"Niemen 1920",1920,"Lech Wyszczelski","1991,2008",https://pl.wikipedia.org/wiki/Bitwa_nad_Niemnem,53.5,24.0
46,"Gorlice 1915",1915,"Michał Klimecki","1991,2009",https://pl.wikipedia.org/wiki/Bitwa_pod_Gorlicami,49.654444,21.159167
47,"Midway 1942",1942,"Maciej Borkowski","1992",https://pl.wikipedia.org/wiki/Bitwa_pod_Midway,30.0,-178.0
48,"Lissa 1866",1866,"Piotr Olender","1993,201",https://pl.wikipedia.org/wiki/Bitwa_pod_Liss%C4%85,43.17638888888889,16.053333333333335
49,"Lepanto 1571",1571,"Leszek Podhorodecki","1993,201",https://pl.wikipedia.org/wiki/Bitwa_pod_Lepanto_(1571),38.2,21.3
50,"Grunwald 1410",1410,"Andrzej Nadolski","1993,1996,2003,2010",https://pl.wikipedia.org/wiki/Bitwa_pod_Grunwaldem,53.483333333333334,20.1
51,"Austerlitz 1805",1805,"Robert Bielecki","1993",https://pl.wikipedia.org/wiki/Bitwa_pod_Austerlitz,49.128055555555555,16.7625
52,"Tobruk 1941–1942",1941,"Zbigniew Kwiecień","1993",https://pl.wikipedia.org/wiki/Bitwa_o_Tobruk,32.07611111111112,23.961388888888887
53,"Wagram 1809",1809,"Sławomir Leśniewski","1993,2003",https://pl.wikipedia.org/wiki/Bitwa_pod_Wagram,48.29555555555555,16.55777777777778
54,"Bitwa Jutlandzka 1916",1916,"Zbigniew Flisowski","1994",https://pl.wikipedia.org/wiki/Bitwa_jutlandzka,56.7,5.9
55,"Beresteczko 1651",1651,"Romuald Romański","1994,2007",https://pl.wikipedia.org/wiki/Bitwa_pod_Beresteczkiem,50.35,25.116666666666667
56,"Zamość 1813",1813,"Jadwiga Nadzieja","1994",https://pl.wikipedia.org/wiki/Zamo%C5%9B%C4%87,50.720555555555556,23.25861111111111
57,"Leyte 1944",1944,"Zbigniew Flisowski","1994,2004",https://pl.wikipedia.org/wiki/Bitwa_w_zatoce_Leyte,10.370000000000001,125.35499999999999
58,"Kliszów 1702",1702,"Marek Wagner","1994",https://pl.wikipedia.org/wiki/Bitwa_pod_Kliszowem,50.62222222222222,20.548611111111114
59,"Obertyn 1531",1531,"Marek Plewczyński","1994,2008,2020,2025",https://pl.wikipedia.org/wiki/Bitwa_pod_Obertynem,48.6894,25.17
60,"Maraton 490 p.n.e.",-490,"Ryszard Kulesza","1995,2021",https://pl.wikipedia.org/wiki/Bitwa_pod_Maratonem,38.11805555555556,23.97833333333333
61,"Jalu 1894",1894,"Tadeusz Maria Gelewski","1995",https://pl.wikipedia.org/wiki/Bitwa_u_uj%C5%9Bcia_Jalu,39.21388888888889,123.12638888888888
62,"Batoh 1652",1652,"Wojciech Jacek Długołęcki","1995,2008",https://pl.wikipedia.org/wiki/Bitwa_pod_Batohem,48.591667,29.282222
63,"Sycylia 1943",1943,"Jerzy Naziębło","1995",https://pl.wikipedia.org/wiki/Operacja_Husky,38.11666666666667,13.366666666666667
64,"Warszawa 1920",1920,"Lech Wyszczelski","1995,2005,2010",https://en.wikipedia.org/wiki/Warsaw,52.230000000000004,21.011111111111113
65,"Jerozolima 1099",1099,"Sławomir Leśniewski","1995,2008,2021",https://pl.wikipedia.org/wiki/Bitwa_pod_Askalonem,31.670555555555556,34.558055555555555
66,"Santiago 1898",1898,"Bogusław W. Winid","1995",https://pl.wikipedia.org/wiki/Bitwa_pod_Santiago_de_Cuba,19.96,-75.875
67,"Cudnów 1660",1660,"Romuald Romański","1996,2008",https://pl.wikipedia.org/wiki/Bitwa_pod_Cudnowem,50.06,28.18
68,"Legnica 1241",1241,"Jerzy Maroń","1996,2008,2017",https://pl.wikipedia.org/wiki/Bitwa_pod_Legnic%C4%85,51.14527777777778,16.222777777777775
69,"Port Artur 1904",1904,"Józef Dyskant","1996",https://pl.wikipedia.org/wiki/Bitwa_na_Morzu_%C5%BB%C3%B3%C5%82tym,38.4,121.7
70,"Alamo–San Jacinto 1836",1836,"Jarosław Wojtczak","1996,2021",https://pl.wikipedia.org/wiki/Bitwa_o_Alamo,29.425555555555558,-98.48611111111111
71,"El Alamein 1942",1942,"Stefan Czmur","1997",https://pl.wikipedia.org/wiki/I_bitwa_pod_El_Alamein,30.841388888888886,28.942777777777778
